Cluster_Name,Cluster,(B-V),Log(R_HK),Age_Myr
US,1,0.86,-4.28,10
US,1,0.68,-4.04,10
US,1,0.62,-4.01,10
US,1,0.82,-4.17,10
US,1,0.74,-4.07,10
US,1,0.74,-3.88,10
US,1,0.68,-3.92,10
US,1,0.59,-4.09,10
UCL,2,0.62,-4.045,16
UCL,2,0.55,-3.96,16
UCL,2,0.62,-4.12,16
UCL,2,0.68,-4.04,16
UCL,2,0.59,-4.04,16
UCL,2,0.82,-4.06,16
UCL,2,0.81,-4.2,16
UCL,2,0.8,-4.02,16
beta_Pic,3,0.55,-4.19666666666667,24
beta_Pic,3,0.78,-3.81,24
beta_Pic,3,0.8,-3.97,24
beta_Pic,3,0.49,-4.41,24
beta_Pic,3,0.59,-4.37,24
beta_Pic,3,0.803,-4.159,24
Tuc,4,0.67,-4.36,45
Tuc,4,0.69,-4.12333333333333,45
Tuc,4,0.68,-4.045,45
Tuc,4,0.59,-4.385,45
Tuc,4,0.52,-4.38,45
Tuc,4,0.6,-4.33,45
alpha_Per,5,0.6,-4.05,85
alpha_Per,5,0.52,-4.62,85
alpha_Per,5,0.59,-4,85
alpha_Per,5,0.64,-4.21,85
alpha_Per,5,0.84,-4.05,85
alpha_Per,5,0.57,-4.53,85
alpha_Per,5,0.62,-4.53,85
alpha_Per,5,0.53,-4.16,85
alpha_Per,5,0.67,-4.04,85
alpha_Per,5,0.72,-3.78,85
alpha_Per,5,0.49,-4.8,85
alpha_Per,5,0.6,-4.125,85
Pleiades,6,0.56,-4.38,130
Pleiades,6,0.64,-4.49,130
Pleiades,6,0.82,-3.85,130
Pleiades,6,0.53,-3.94,130
Pleiades,6,0.52,-3.78,130
Pleiades,6,0.66,-4.34,130
Pleiades,6,0.7,-4.42,130
Pleiades,6,0.51,-4.68,130
Pleiades,6,0.67,-4.38,130
Pleiades,6,0.61,-4.55,130
Pleiades,6,0.61,-4.21,130
Pleiades,6,0.68,-4.185,130
Pleiades,6,0.8,-3.9,130
Pleiades,6,0.58,-4.23,130
Pleiades,6,0.59,-4.29,130
Pleiades,6,0.78,-4.025,130
